country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw,polygon
Maritime,,NAVAREA IV 862/26,MSI,2026-09-05T22:23:00Z,2026-09-20T00:57:00Z,5.42,-42.246667,,,"052223Z SEP 26  NAVAREA IV 862/26.  NORTH ATLANTIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     2134Z TO 2357Z DAILY 13 THRU 19 SEP        IN AREA BOUND BY     08-58.00N 050-28.00W, 08-06.00N 047-28.00W,     03-21.00N 032-11.00W, 00-57.00N 032-55.00W,     05-44.00N 048-12.00W.  2. CANCEL THIS MSG 200057Z SEP 26.","[[[8.966667, -50.466667], [8.1, -47.466667], [3.35, -32.183333], [0.95, -32.916667], [5.733333, -48.2]]]"
Maritime,,NAVAREA IV 861/26,MSI,2026-09-07T21:22:00Z,2026-09-19T23:59:00Z,28.784056,-76.616542,,,"072122Z SEP 26  NAVAREA IV 861/26.  NORTH ATLANTIC.  FLORIDA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      131840Z TO 132110Z SEP, ALTERNATE     1840Z TO 2110Z DAILY 14 THRU 19 SEP     IN AREAS BOUND BY:     A. 29-16.00N 075-11.00W, 29-35.00N 072-08.00W,        29-21.00N 071-15.00W, 28-38.00N 071-15.00W,        28-19.00N 072-12.00W, 28-46.00N 075-11.00W.     B. 28-36.52N 080-35.63W, 28-39.00N 080-29.00W,        28-39.00N 080-06.00W, 28-33.00N 080-06.00W,        28-31.00N 080-22.00W, 28-31.00N 080-33.28W.  2. CANCEL THIS MSG 192210Z SEP 26.","[[[29.266667, -75.183333], [29.583333, -72.133333], [29.35, -71.25], [28.633333, -71.25], [28.316667, -72.2], [28.766667, -75.183333]], [[28.608667, -80.593833], [28.65, -80.483333], [28.65, -80.1], [28.55, -80.1], [28.516667, -80.366667], [28.516667, -80.554667]]]"
Maritime,,NAVAREA IV 845/26,MSI,2026-09-01T16:52:00Z,2026-10-15T02:51:00Z,15.966667,-53.858333,,,"011652Z SEP 26  NAVAREA IV 845/26.  NORTH ATLANTIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     0021Z TO 0151Z DAILY 15 SEP THRU 15 OCT     IN AREAS BOUND BY:     A. 09-36.00N 052-45.00W, 09-36.00N 052-42.00W,        08-41.00N 052-43.00W, 08-41.00N 052-46.00W.     B. 24-14.00N 055-20.00W, 24-16.00N 055-04.00W,        21-21.00N 054-38.00W, 21-19.00N 054-54.00W.  2. CANCEL THIS MSG 150251Z OCT 26.","[[[9.6, -52.75], [9.6, -52.7], [8.683333, -52.716667], [8.683333, -52.766667]], [[24.233333, -55.333333], [24.266667, -55.066667], [21.35, -54.633333], [21.316667, -54.9]]]"
Maritime,,NAVAREA XII 608/26,MSI,2026-09-01T17:42:00Z,2026-09-16T18:57:00Z,30.69375,-118.484375,,,"011742Z SEP 26  NAVAREA XII 608/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:     A. 101537Z TO 101902Z, ALTERNATE         111523Z TO 111848Z, 121509Z TO 121834Z,        131455Z TO 131820Z, 141441Z TO 141806Z,        151427Z TO 151752Z, AND 161414Z TO 161739Z SEP        IN AREA BOUND BY        29-48.00N 117-39.00W, 34-28.00N 120-18.00W,        34-40.00N 120-36.00W, 34-39.00N 120-39.00W,        34-30.00N 120-39.00W, 29-35.00N 118-12.00W,        29-52.00N 117-54.00W.     B. 101537Z TO 101920Z, ALTERNATE         111523Z TO 111906Z, 121509Z TO 121852Z,         131455Z TO 131838Z, 141441Z TO 141824Z,        151427Z TO 151810Z, AND 161414Z TO 161757Z SEP        IN AREA BOUND BY        29-48.00N 117-39.00W, 29-52.00N 117-54.00W,        29-35.00N 118-12.00W, 29-24.00N 118-08.00W,        29-15.00N 118-02.00W, 29-02.00N 117-59.00W,        28-12.00N 117-19.00W, 28-50.00N 117-19.00W,        29-36.00N 117-16.00W.  2. CANCEL THIS MSG 161857Z SEP 26.","[[[29.8, -117.65], [34.466667, -120.3], [34.666667, -120.6], [34.65, -120.65], [34.5, -120.65], [29.583333, -118.2], [29.866667, -117.9]], [[29.8, -117.65], [29.866667, -117.9], [29.583333, -118.2], [29.4, -118.133333], [29.25, -118.033333], [29.033333, -117.983333], [28.2, -117.316667], [28.833333, -117.316667], [29.6, -117.266667]]]"
Maritime,,HYDROLANT 1783/26,MSI,2026-09-05T22:23:00Z,2026-09-20T00:57:00Z,5.42,-42.246667,,,"052223Z SEP 26  HYDROLANT 1783/26.  NORTH ATLANTIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     2134Z TO 2357Z DAILY 13 THRU 19 SEP        IN AREA BOUND BY     08-58.00N 050-28.00W, 08-06.00N 047-28.00W,     03-21.00N 032-11.00W, 00-57.00N 032-55.00W,     05-44.00N 048-12.00W.  2. CANCEL THIS MSG 200057Z SEP 26.","[[[8.966667, -50.466667], [8.1, -47.466667], [3.35, -32.183333], [0.95, -32.916667], [5.733333, -48.2]]]"
Maritime,,HYDROLANT 237/26(54),MSI,2026-02-03T17:44:00Z,2027-01-01T00:01:00Z,35.904315,25.148148,,,"031744Z FEB 26  HYDROLANT 237/26(54).  AEGEAN SEA.  DNC 09.  1. MISSILE OPERATIONS 0530Z TO SUNSET DAILY EVERY     WEDNESDAY THRU SATURDAY UNTIL 14 JUN AND     16 SEB THRU 31 DEC IN AREAS:     A. BOUND BY        35-36.00N 024-07.00E, 36-18.00N 024-07.00E,        36-18.00N 025-59.00E, 36-25.00N 026-12.00E,        36-16.00N 026-40.00E, 35-36.00N 026-41.00E,        35-31.00N 024-11.00E.     B. WITHIN ONE MILE OF 35-32.00N 024-13.00E.     C. WITHIN ONE MILE OF 35-36.33N 024-10.00E.  2. CANCEL THIS MSG 010001Z JAN 27.","[[[35.6, 24.116667], [36.3, 24.116667], [36.3, 25.983333], [36.416667, 26.2], [36.266667, 26.666667], [35.6, 26.683333], [35.516667, 24.183333]], [[35.533333, 24.216667]], [[35.6055, 24.166667]]]"
Maritime,,HYDROPAC 2597/26,MSI,2026-09-09T09:25:00Z,2026-09-19T09:00:00Z,42.233,131.922333,,,"090925Z SEP 26  HYDROPAC 2597/26.  SEA OF JAPAN.  RUSSIA.  1. MISSILE OPERATIONS 1400Z TO 0800Z      DAILY 14 THRU 18 SEP IN AREA BOUND BY     42-31.50N 131-16.00E, 42-38.40N 131-32.00E,     42-42.50N 132-22.40E, 42-32.00N 133-01.00E,     41-33.80N 133-34.20E, 41-12.50N 132-13.50E,     42-06.50N 131-51.10E, 42-09.90N 131-24.10E,     42-23.50N 130-56.70E, 42-29.20N 131-02.40E.  2. CANCEL THIS MSG 190900Z SEP 26.","[[[42.525, 131.266667], [42.64, 131.533333], [42.708333, 132.373333], [42.533333, 133.016667], [41.563333, 133.57], [41.208333, 132.225], [42.108333, 131.851667], [42.165, 131.401667], [42.391667, 130.945], [42.486667, 131.04]]]"
Maritime,,HYDROPAC 2551/26,MSI,2026-09-02T16:42:00Z,2026-09-16T20:39:00Z,-43.759524,-110.678572,,,"021642Z SEP 26  HYDROPAC 2551/26  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     101724Z TO 102102Z, 111710Z TO 112048Z,     121656Z TO 122034Z, 131642Z TO 132020Z,     141628Z TO 142006Z, 151614Z TO 151952Z,     AND 161601Z TO 161939Z SEP IN AREA BOUND BY     27-59.00S 122-44.00W, 27-09.00S 120-43.00W,     38-21.00S 115-04.00W, 49-09.00S 107-22.00W,     59-09.00S 095-34.00W, 59-58.00S 099-05.00W,     44-34.00S 114-13.00W.  2. CANCEL THIS MSG 162039Z SEP 26.","[[[-27.983333, -122.733333], [-27.15, -120.716667], [-38.35, -115.066667], [-49.15, -107.366667], [-59.15, -95.566667], [-59.966667, -99.083333], [-44.566667, -114.216667]]]"
Maritime,,HYDROPAC 2517/26,MSI,2026-09-03T06:56:00Z,2026-09-20T00:30:00Z,-34.1875,-168.03125,,,"030656Z SEP 26  HYDROPAC 2517/26.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     0001Z TO 2330Z DAILY 07 THRU 19 SEP     IN AREAS BOUND BY:     A. 36-30.00S 177-30.00W, 34-15.00S 171-30.00W,        35-45.00S 170-30.00W, 38-00.00S 176-45.00W.     B. 32-30.00S 165-00.00W, 30-30.00S 160-00.00W,        32-00.00S 159-00.00W, 34-00.00S 164-00.00W.  2. CANCEL THIS MSG 200030Z SEP 26.","[[[-36.5, -177.5], [-34.25, -171.5], [-35.75, -170.5], [-38.0, -176.75]], [[-32.5, -165.0], [-30.5, -160.0], [-32.0, -159.0], [-34.0, -164.0]]]"
Maritime,,HYDROPAC 2516/26,MSI,2026-09-03T06:36:00Z,2026-09-20T00:30:00Z,-37.99,37.19,,,"030636Z SEP 26  HYDROPAC 2516/26.  SOUTH PACIFIC.  NEW ZEALAND.  1. HAZARDOUS OPERATIONS 0001Z TO 2330Z      DAILY 07 THRU 19 SEP:     A. ROCKET LAUNCHING IN AREA BOUND BY        39-12.00S 177-48.00E, 39-09.00S 178-06.00E,        39-09.00S 178-18.00E, 39-15.00S 178-18.00E,        39-24.00S 177-54.00E, 39-15.00S 177-45.00E.     B. SPACE DEBRIS IN AREA BOUND BY        36-30.00S 177-30.00W, 34-15.00S 171-30.00W,        35-45.00S 170-30.00W, 38-00.00S 176-45.00W.  2. CANCEL THIS MSG 200030Z SEP 26.","[[[-39.2, 177.8], [-39.15, 178.1], [-39.15, 178.3], [-39.25, 178.3], [-39.4, 177.9], [-39.25, 177.75]], [[-36.5, -177.5], [-34.25, -171.5], [-35.75, -170.5], [-38.0, -176.75]]]"
