country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw
French Polynesia,107699368584728179,A335/2026,NTTT,2026-03-25T00:46:00Z,2026-03-31T05:32:00Z,-27.133333333333333,-155.91666666666666,196,QRDCA,"A0335/26 NOTAMN  Q) NTTT/QRDCA/IV/BO/W/000/999/2708S15555W196  A) NTTT  B) 2603250046 C) 2603310532  D) 0046-0532  E) TEMPORARY DANGEROUS AREA DUE TO SPACE DEBRIS RETURN OF SPACEX  STARLINK 17-17 IN TAHITI FIR WITHIN AN AREA BOUNDED BY FOLLOWING  POINTS:  2541S 15700W, 2523S 15656W, 2603S 15324W, 3000S 15408W,   3000S 15700W, 2541S 15700W   THIS ACTIVITY ALSO IMPACTS THE FOLLOWING FIR:NZZO    THE FRENCH VERSION OF THIS NOTAM IS C0602/26  F) SFC G) UNL    CREATED: 18 MAR 2026 17:23  SOURCE: NTAAYNYX"
Norway,107699380546582263,A1048/2026,ENXX,2026-03-19T00:00:00Z,2026-04-01T23:59:00Z,73.95,9.783333333333333,324,QRDTT,A1048/26 NOTAMN  Q) ENXX/QRDTT/IV/BO /W /000/999/7357N00947E324  A) ENOR ENOB B) 2603190000 C) 2604012359  E) TRIGGER NOTAM - AIP AIRAC SUP 12/26 WEF 19 MAR 2026 TIL 19 APR   2026. TEMPO DANGER AREAS ESTABLISHED IN CONNECTION WITH ROCKET   LAUNCH FROM ANDOYA SPACE. FOR DETAILS SEE SUP AVBL AT   WWW.AVINOR.NO/AIS  F) GND G) UNL    CREATED: 19 FEB 2026 08:47  SOURCE: EUECYIYN
Norway,107699389170070993,A1562/2026,ENOR,2026-03-19T20:00:00Z,2026-03-28T21:00:00Z,69.53333333333333,15.433333333333334,32,QRDCA,A1562/26 NOTAMN  Q) ENOR/QRDCA/IV/BO /AW/000/999/6932N01526E032  A) ENAN B) 2603192000 C) 2603282100  D) DAILY 2000-2100  E) TEMPO DANGER AREA END486A 'AIR UR' ACTIVATED FOR ROCKET LAUNCH  PSN 694300N 0142100E - 700000N 0150000E - 700300N 0152000E - 691500N   0160500E - 690100N 0153600E - 690100N 0151500E - (694300N 0142100E).   REAL TIME ACTIVIATION 30 MIN NOTICE. CTC TEL +47 73607062  F) GND G) UNL  CREATED: 09 MAR 2026 08:54  SOURCE: EUECYIYN
Australia,107701576684810636,E876/2026,YMMM,2026-03-22T17:03:00Z,2026-03-28T19:46:00Z,-51.71666666666667,117.31666666666666,,QRDCA,E0876/26 NOTAMN  Q) YMMM/QRDCA/IV/BO/W/000/999/5143S11719E999  A) YMMM  B) 2603221703 C) 2603281946  D) 2603221703 TO 2603222159     2603231641 TO 2603232137     2603241619 TO 2603242115     2603251556 TO 2603252052     2603261534 TO 2603262030     2603271512 TO 2603272008     2603281450 TO 2603281946  E) TEMPO DANGER AREA ACT  FLW RECEIVED FM GOVERNMENT OF UNITED STATES OF AMERICA:  HAZARDOUS OPS WILL BE CONDUCTED FOR ATMOSPHERIC RE-ENTRY AND  SPLASHDOWN OF SPACEX STARLINK 10-62 STAGE2 WI THE FLW AREA: 3952S  08205E - 4648S 09701E - 5117S 11527E - 5119S 13810E - 4711S 15859E -  4802S 15955E - 4927S 15948E - 5345S 13813E - 5337S 11428E - 4853S  09517E - 4136S 08009E TO BEGINNING  F) SFC G) UNL  CREATED: 15 MAR 2026 21:12  SOURCE: YBBBZEZX
Bahamas,107699364340064672,A82/2026,MYNA,2026-03-21T12:00:00Z,2026-03-24T22:00:00Z,24.416666666666668,-77.46666666666667,13,QWMLW,"A0082/26 NOTAMN  Q) MYNA/QWMLW/IV/BO/W/000/100/2425N07728W013  A) MYNA  B) 2603211200 C) 2603242200  D) DLY 1200-2200  E) MISSILE, GUN OR ROCKET FIRING WILL TAKE PLACE AT COORD:  243600N0773800W-  243600N0772400W-  242200N0771800W-  241400N0771800W-  241400N0773200W-  243000N0773800W-  243600N0773800W.CTN ADZ  F) SFC G) 10000FT AMSL  )    UNITED STATES NOF DISCLAIMS FOREIGN NOTAM ACCURACY OR COMPLETENESS  CREATED: 23 FEB 2026 20:17  SOURCE: MYNNYNYX"
Hungary,107699378751642690,A941/2026,LHCC,2026-02-24T00:00:00Z,2026-03-25T23:59:00Z,47.7,19.0,2,QRACA,"A0941/26 NOTAMN  Q) LHCC/QRACA/IV/NBO/W /000/035/4742N01900E002  A) LHCC B) 2602240000 C) 2603252359  E) AIRSPACE RESERVATION ACTIVATED DUE TO MILITARY OPERATIONS   AND MISSILE, ROCKET FIRING WITHIN AREA BOUNDED BY THE FOLLOWING   COORD POINTS:  474152N0190157E  474145N0190159E  474131N0190216E  474106N0190159E  474112N0190143E  474101N0190113E  474109N0190058E  474112N0190116E  474247N0185756E  474326N0185836E  474152N0190157E (LHD-16 IZBEG) .  THE AIRSPACE IS SEGREGATED AND SHALL BE AVOIDED ACCORDING TO AIP   HUNGARY ENR 5.3.  FURTHER INFO ABOUT THE ACTUAL OPR HR VIA TEL: +36 30 820 9556.  F) GND G) 3500FT AMSL  CREATED: 17 FEB 2026 15:37  SOURCE: EUECYIYN"
Hungary,107699378734865474,A940/2026,LHCC,2026-03-26T08:00:00Z,2026-03-27T17:00:00Z,46.483333333333334,16.933333333333334,1,QRACA,"A0940/26 NOTAMN  Q) LHCC/QRACA/IV/NBO/W /000/045/4629N01656E001  A) LHCC B) 2603260800 C) 2603271700  D) 0800-1700  E) AIRSPACE RESERVATION ACTIVATED DUE TO MILITARY OPERATIONS   AND MISSILE, ROCKET FIRING WITHIN AREA BOUNDED BY THE FOLLOWING   COORD POINTS:  462931N0165609E  462914N0165640E  462831N0165628E  462845N0165559E  462931N0165609E (NAGYKANIZSA).  THE AIRSPACE IS SEGREGATED AND SHALL BE AVOIDED ACCORDING TO AIP   HUNGARY ENR 5.3.  FURTHER INFO ABOUT THE ACTUAL OPR HR VIA TEL: +36 30 381 2731.  F) GND G) 4500FT AMSL    CREATED: 17 FEB 2026 15:31  SOURCE: EUECYIYN"
Hungary,107699389002521666,A1552/2026,LHCC,2026-03-27T06:00:00Z,2026-03-29T18:00:00Z,46.15,19.05,1,QRACA,"A1552/26 NOTAMN  Q) LHCC/QRACA/IV/NBO/W /000/205/4609N01903E001  A) LHCC B) 2603270600 C) 2603291800  D) 0600-1800  E) AIRSPACE RESERVATION ACTIVATED DUE TO MISSILE, ROCKET FIRING    WITHIN 1000M RADIUS CENTERED AT COORD POINT 460832N 0190238E   (BAJA).  THE AIRSPACE IS SEGREGATED AND SHALL BE AVOIDED ACCORDING TO AIP   HUNGARY ENR 5.3.  FURTHER INFO ABOUT THE ACTUAL OPR HR VIA TEL: +36 70 526 1351.  F) GND G) FL205  CREATED: 16 MAR 2026 15:39  SOURCE: EUECYIYN"
Hungary,107699378768419906,A942/2026,LHCC,2026-03-01T00:00:00Z,2026-03-30T23:59:00Z,47.766666666666666,19.283333333333335,3,QRACA,"A0942/26 NOTAMN  Q) LHCC/QRACA/IV/NBO/W /000/035/4746N01917E003  A) LHCC B) 2603010000 C) 2603302359  E) AIRSPACE RESERVATION ACTIVATED DUE TO MILITARY OPERATIONS   AND MISSILE, ROCKET FIRING WITHIN AREA BOUNDED BY THE FOLLOWING   COORD POINTS:  474459N0191827E  474542N0191919E  474734N0191451E  474636N0191404E  474459N0191827E (LHD-29 PUSPOKSZILAGY).  THE AIRSPACE IS SEGREGATED AND SHALL BE AVOIDED ACCORDING TO AIP   HUNGARY ENR 5.3.  FURTHER INFO ABOUT THE ACTUAL OPR HR VIA TEL: +36 30 779 8568.  F) GND G) 3500FT AMSL    CREATED: 17 FEB 2026 15:40  SOURCE: EUECYIYN"
India,107699378718423429,A939/2026,VOMF,2026-03-27T05:30:00Z,2026-03-30T07:00:00Z,,,,QWMLW,"A0939/26 NOTAMN  Q) VOMF/QWMLW/IV/BO/W/000/999/  A) VOMF PART 1 OF 2 B) 2603270530 C) 2603300700  D) 27 28 30 0530-0700  E) VOD175(A) THUMBA-1 ROCKET FRNG RANGE ACT.    1.LAUNCH WILL TAKE PLACE BTN 0530 AND 0700 Z. ACTUAL LAUNCH   WINDOW IS EXP TO BE 15 MIN.  2.ARR/DEP AT THIRUVANANTHAPURAM AP MAY BE DLA DURING RANGE ACT.   ARR MAY BE REQUIRED BY ATC TO HOLD CLEAR OF DANGER AREA.   DEP MAY BE DELAYED ON GROUND. MAX ANTICIPATED DLA FOR   ARR AND DEP IS AROUND 30 MIN.  3.RNAV SIDS & STARS FOR THIRUVANANTHAPURAM AP SHALL NOT BE AVBL   DRG THE NOTAM PERIOD.  4.ATS RTE Q12, Q13, W15, W43, W91, R457, P570, L899, UL425, N640,   V22, V23, V24, V25, V26, V27, V28 AND V29 ARE AFFECTED DUE TO THE   RANGE ACT.  5.ALTN RTE FOR OVERFLYING ACFT ARE AS FLW.  I.ACFT VIA P570/N640 (DOTAT-TVM-BIKOK) TO RTE VIA DOTAT DCT BIKOK.  II.ACFT VIA P570 (BASUR-TVM-DOTAT) TO RTE VIA BASUR DCT TUMLA DCT   DOTAT.  III.ACFT VIA UL425/N640 (ANODA-TVM-BIKOK) TO RTE VIA ANODA DCT TUMLA   DCT BIKOK.  IV.ACFT VIA P570/UL425 (BASUR-TVM-ANODA) TO RTE VIA BASUR DCT TUMLA   DCT ANODA.  V.ACFT VIA R457/W43 (OSERA-TVM-CCB) TO RTE VIA OSERA DCT TELAR DCT   COCHIN VOR CIA DCT COIMBATORE VOR CCB. ALTN RTE BI-DIRECTIONAL.  VI.ACFT VIA R457/W15 (OSERA-TVM-CIA) TO RTE VIA OSERA DCT TELAR DCT   CIA.ALTN ROUTE BI-DIRECTIONAL.  CREATED: 16 MAR 2026 11:08  SOURCE: VOMMYNYX    A0939/26 NOTAMN  Q) VOMF/QWMLW/IV/BO/W/000/999/  A) VOMF PART 2 OF 2 B) 2603270530 C) 2603300700  D) 27 28 30 0530-0700  E) VII.ACFT VIA R457 (OSERA-TVM-MDI) TO RTE VIA OSERA DCT BASUR DCT   MADURAI VOR MDI.ALTN RTE BI-DIRECTIONAL.  VIII.ACFT VIA L899/W15 TO RTE VIA TELAR DCT COCHIN VOR CIA. ALTN   ROUTE BI-DIRECTIONAL.  IX.ACFT VIA L899/W43 TO RTE VIA TELAR DCT COCHIN VOR CIA DCT   COIMBATORE VOR CCB. ALTN ROUTE BI-DIRECTIONAL.  X.ACFT VIA L899/R457 TO RTE VIA TELAR DCT OSERA DCT BASUR DCT   MADURAI VOR MDI. ALTN ROUTE BI-DIRECTIONAL.  XI.ATS ROUTES V22, V23, V24, V25, V26, V27, V28 AND V29 ARE NOT   AVBL DRG THE NOTAM PERIOD.  F) GND G) UNL  CREATED: 16 MAR 2026 11:08  SOURCE: VOMMYNYX"
Ireland,107704310950928973,J11/2026,EISN,2026-03-06T10:00:00Z,2026-06-05T17:00:00Z,52.766666666666666,-9.5,3,QRTCA,"J0011/26 NOTAMN  Q) EISN/QRTCA/IV/BO /W /000/005/5246N00930W003  A) EISN B) 2603061000 C) 2606051700  D) MON-FRI 1000-1700 EXC MAR 17 APR 06 MAY 04 JUN 01  E) FLIGHT RESTRICTION IN THE VICINITY OF COUNTY CLARE COASTLINE    A TEMPORARY RESTRICTION ON THE FLYING OF AIRCRAFT, AND ROCKETS AS   DEFINED IN S.I. NO.25 OF 2023, SHALL APPLY IN THE TEMPORARY   RESTRICTED AREA (TRA) CONTAINED WITHIN THE VOLUME OF AIRSPACE   DEFINED BELOW:    LATERAL LIMITS, THE AIRSPACE CONTAINED WITHIN:  524452.36N 0093036.12W  524523.14N 0093418.47W    ARC RADIUS OF 5KM (2.7NM) CENTRED ON  524610.85N 0093003.76W  524827.40N 0093225.92W  524759.40N 0093144.97W  524759.50N 0092913.83W  524632.84N 0092836.10W  524558.69N 0092936.65W  524519.32N 0092949.34W  524452.36N 0093036.12W  VERTICAL LIMITS: SFC TO 500FT AMSL    POINT OF CONTACT DURING ACTIVATION: A-TECHSYN HEAD OF UAV OPERATIONS   (+353 87 711 3209) OR PIC (+353 85 186 4544).    STATE AIRCRAFT, AIRCRAFT OF THE IRISH COASTGUARD SERVICE AND HEMS   OPERATORS EMPLOYED ON AN OPERATIONAL MISSION SHALL BE EXEMPT FROM   THE RESTRICTION.  F) SFC G) 500FT AMSL    CREATED: 23 FEB 2026 19:01  SOURCE: EUECYIYN"
Ireland,107704310917374541,J9/2026,EISN,2026-02-20T00:00:00Z,2026-05-20T00:00:00Z,54.13333333333333,-9.783333333333333,1,QRTCA,"J0009/26 NOTAMN  Q) EISN/QRTCA/IV/BO /W /000/031/5408N00947W001  A) EISN B) 2602200000 C) 2605200000  E) FLIGHT RESTRICTION IN THE VICINITY OF BANGOR ERRIS, COUNTY MAYO    A TEMPORARY RESTRICTION ON THE FLYING OF AIRCRAFT, INCLUDING  UNMANNED AIRCRAFT SYSTEMS (UAS) AS DEFINED IN S.I. NO. 24 OF 2023  AND COMMISSION IMPLEMENTING REGULATION (EU) 2019/947, AND ROCKETS AS   DEFINED IN S.I. NO. 25 OF 2023, SHALL APPLY IN THE TEMPORARY   RESTRICED AREA (TRA) CONTAINED WITHIN THE VOLUME OF AIRSPACE DEFINED   BELOW:     LATERAL LIMITS: A CIRCLE RADIUS OF 0.6NM CENTRED ON:  540733.1N 0094659.5W    POINT OF CONTACT DURING ACTIVATION   MR. ANDREI LUCA +31 685358986 OR BY EMAIL AT A.LUCA(AT)KITEPOWER.NL   MR. MARK DEVAS +353 83 842 2897 OR BY EMAIL AT   M.DEVAS(AT)KITEPOWER.NL    STATE AIRCRAFT, AIRCRAFT OF THE IRISH COASTGUARD SERVICE AND HEMS  OPERATORS EMPLOYED ON AN OPERATIONAL MISSION SHALL BE EXEMPT FROM   THE RESTRICTION.  F) SFC G) 3100FT AMSL    CREATED: 12 FEB 2026 17:23  SOURCE: EUECYIYN"
Ireland,107704310967706189,J12/2026,EISN,2026-03-06T10:00:00Z,2026-06-05T17:00:00Z,52.75,-9.566666666666666,15,QRTCA,"J0012/26 NOTAMN  Q) EISN/QRTCA/IV/BO /W /000/025/5245N00934W015  A) EISN B) 2603061000 C) 2606051700  D) MON-FRI 1000-1700 EXC MAR 17 APR 06 MAY 04 JUN 01  E) FLIGHT RESTRICTION IN THE VICINITY OF COUNTY CLARE COASTLINE    A TEMPORARY RESTRICTION ON THE FLYING OF AIRCRAFT, AND ROCKETS AS   DEFINED IN S.I. NO.25 OF 2023, SHALL APPLY IN THE TEMPORARY   RESTRICTED AREA (TRA) CONTAINED WITHIN THE VOLUME OF AIRSPACE   DEFINED BELOW:    LATERAL LIMITS, THE AIRSPACE CONTAINED WITHIN:  524523.14N 0093418.47W  524839.19N 0095438.25W    ARC RADIUS OF 28KM (15.12NM) CENTRED ON  524610.85N 0093003.76W  525743.31N 0094606.50W  524827.40N 0093225.92W  ARC RADIUS OF 5KM (2.7NM) CENTRED ON  524610.85N 0093003.76W  524523.14N 0093418.47W  VERTICAL LIMITS: SFC TO 2500FT AMSL    POINT OF CONTACT DURING ACTIVATION: A-TECHSYN HEAD OF UAV OPERATIONS   (+353 87 711 3209) OR PIC (+353 85 186 4544).    STATE AIRCRAFT, AIRCRAFT OF THE IRISH COASTGUARD SERVICE AND HEMS   OPERATORS EMPLOYED ON AN OPERATIONAL MISSION SHALL BE EXEMPT FROM   THE RESTRICTION.  F) SFC G) 2500FT AMSL    CREATED: 23 FEB 2026 19:02  SOURCE: EUECYIYN"
Japan,107707629920888105,P1229/2026,RJJJ,2026-03-22T22:00:00Z,2026-03-31T13:00:00Z,35.28333333333333,138.83333333333334,1,QWMLW,P1229/26 NOTAMN  Q) RJJJ/QWMLW/IV/BO/W/000/085/3517N13850E001  A) RJJJ B) 2603222200 C) 2603311300  D) 2200/1300  E) FRNG EXER  1.WEAPON: MINE BREACHING ROCKET SYSTEM  2.AREA  : BOUNDED BY FLW POINTS            351749N1384955E 351709N1385049E            351648N1384938E            R-114(HIGASHIFUJI MANEUVERING AREA)            (GOTENBA-SHI IN SHIZUOKA)  3.RMK   : SOURCE/JSDF-G(RJAT)  F) SFC G) 8500FT AMSL    CREATED: 13 MAR 2026 03:36  SOURCE: RJAAYNYX
Thailand,107704340076743713,J1747/2026,VTBB,2026-03-22T00:00:00Z,2026-03-23T01:00:00Z,15.6,104.08333333333333,5,QWMLW,"J1747/26 NOTAMN  Q) VTBB/QWMLW/IV/BO/W/000/190/1536N10405E005  A) VTBB B) 2603220000 C) 2603230100  D) DAILY 0000-0100  E) ROCKET (BANGFAI) FRNG WILL TAKE PLACE RADIUS 5NM CENTRE     153539.4N1040506.3E (PHANOM PHRAI DISTRICT ROI ET PROVINCE)     RMK: COOR CTC TEL +669 3190 7311, +669 3020 6551  F) GND G) 19000FT AGL    CREATED: 20 MAR 2026 09:11  SOURCE: VTBDYNYX"
Turkey,107699380412599296,A1040/2026,LTAA,2026-03-23T10:00:00Z,2026-03-28T21:00:00Z,42.15,35.31666666666667,33,QWMLW,"A1040/26 NOTAMN  Q) LTAA/QWMLW/IV/BO /W /000/999/4209N03519E033  A) LTAA B) 2603231000 C) 2603282100  D) 23 25 26 28 1000-2100, 24 0500-1630, 27 0630-1630  E) RMK: AIR TRAFFIC FLOW REGULATION NOTAM SHALL BE ISSUED.  ROCKET FIRING WILL TAKE PLACE WI SINOP   TMA(LTTSA-41R):423327N0345044E 414643N0351817E 414216N0354227E   422701N0355432E 423327N0345044E  VERTICAL LIMITS: SFC-99500FT AMSL  F) SFC G) UNL  CREATED: 17 MAR 2026 07:09  SOURCE: EUECYIYN"
